locus_tag	ftype	length_bp	gene	EC_number	COG	product
target_00814	gene	2895	mmpL5_1			
target_00814	CDS	2895	mmpL5_1		COG2409	Siderophore exporter MmpL5
target_00815	gene	429	mmpS5			
target_00815	CDS	429	mmpS5			Siderophore export accessory protein MmpS5
target_00816	gene	498	mmpR5			
target_00816	CDS	498	mmpR5			HTH-type transcriptional regulator MmpR5
target_00817	gene	498				
target_00817	CDS	498				hypothetical protein
target_00818	gene	375				
target_00818	CDS	375				hypothetical protein
target_00819	gene	657				
target_00819	CDS	657				hypothetical protein
target_00820	gene	375	rpsL			
target_00820	CDS	375	rpsL		COG0048	30S ribosomal protein S12
target_00821	gene	471	rpsG			
target_00821	CDS	471	rpsG		COG0049	30S ribosomal protein S7
target_00822	gene	2106	fusA			
target_00822	CDS	2106	fusA		COG0480	Elongation factor G
target_00823	gene	1191	tuf			
target_00823	CDS	1191	tuf		COG0050	Elongation factor Tu
target_00824	gene	798				
target_00824	CDS	798				hypothetical protein
target_00825	gene	828				
target_00825	CDS	828		1.-.-.-	COG1028	putative NAD-dependent oxidoreductase
target_00826	gene	1221	fdr			
target_00826	CDS	1221	fdr	1.18.1.2		Ferredoxin--NAD(P)(+) reductase fdr
target_00827	gene	249				
target_00827	CDS	249				hypothetical protein
target_00828	gene	1050				
target_00828	CDS	1050				hypothetical protein
target_00829	gene	597	mftR			
target_00829	CDS	597	mftR			Putative mycofactocin biosynthesis transcriptional regulator MftR
target_00830	gene	90				
target_00830	CDS	90				hypothetical protein
target_00831	gene	330				
target_00831	CDS	330				hypothetical protein
target_00832	gene	1176	mftC			
target_00832	CDS	1176	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
target_00833	gene	1191	mftD			
target_00833	CDS	1191	mftD	1.-.-.-	COG1304	Putative mycofactocin system heme/flavin oxidoreductase MftD
target_00834	gene	666	mftE			
target_00834	CDS	666	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
target_00835	gene	1413	mftF			
target_00835	CDS	1413	mftF	2.-.-.-	COG0463	Putative mycofactocin biosynthesis glycosyltransferase MftF
target_00836	gene	1359	betA			
target_00836	CDS	1359	betA	1.1.99.1		Oxygen-dependent choline dehydrogenase
target_00837	gene	756				
target_00837	CDS	756				hypothetical protein
target_00838	gene	306	rpsJ			
target_00838	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
target_00839	gene	654	rplC			
target_00839	CDS	654	rplC		COG0087	50S ribosomal protein L3
target_00840	gene	672	rplD			
target_00840	CDS	672	rplD		COG0088	50S ribosomal protein L4
target_00841	gene	303	rplW			
target_00841	CDS	303	rplW		COG0089	50S ribosomal protein L23
target_00842	gene	843	rplB			
target_00842	CDS	843	rplB		COG0090	50S ribosomal protein L2
target_00843	gene	282	rpsS			
target_00843	CDS	282	rpsS		COG0185	30S ribosomal protein S19
target_00844	gene	594	rplV			
target_00844	CDS	594	rplV		COG0091	50S ribosomal protein L22
target_00845	gene	825	rpsC			
target_00845	CDS	825	rpsC		COG0092	30S ribosomal protein S3
target_00846	gene	417	rplP			
target_00846	CDS	417	rplP		COG0197	50S ribosomal protein L16
target_00847	gene	234	rpmC			
target_00847	CDS	234	rpmC		COG0255	50S ribosomal protein L29
target_00848	gene	408	rpsQ			
target_00848	CDS	408	rpsQ		COG0186	30S ribosomal protein S17
target_00849	gene	2364				
target_00849	CDS	2364				hypothetical protein
target_00850	gene	900				
target_00850	CDS	900		1.8.3.7	COG1262	Formylglycine-generating enzyme
target_00851	gene	861				
target_00851	CDS	861				hypothetical protein
target_00852	gene	369	rplN			
target_00852	CDS	369	rplN		COG0093	50S ribosomal protein L14
target_00853	gene	318	rplX			
target_00853	CDS	318	rplX		COG0198	50S ribosomal protein L24
target_00854	gene	564	rplE			
target_00854	CDS	564	rplE		COG0094	50S ribosomal protein L5
target_00855	gene	186	rpsZ			
target_00855	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
target_00856	gene	399	rpsH			
target_00856	CDS	399	rpsH		COG0096	30S ribosomal protein S8
target_00857	gene	540	rplF			
target_00857	CDS	540	rplF		COG0097	50S ribosomal protein L6
target_00858	gene	369	rplR			
target_00858	CDS	369	rplR		COG0256	50S ribosomal protein L18
target_00859	gene	663	rpsE			
target_00859	CDS	663	rpsE		COG0098	30S ribosomal protein S5
target_00860	gene	198	rpmD			
target_00860	CDS	198	rpmD		COG1841	50S ribosomal protein L30
target_00861	gene	441	rplO			
target_00861	CDS	441	rplO		COG0200	50S ribosomal protein L15
target_00862	gene	1872				
target_00862	CDS	1872				hypothetical protein
target_00863	gene	906				
target_00863	CDS	906				hypothetical protein
target_00864	gene	1104				
target_00864	CDS	1104		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_00865	gene	657	drdA			
target_00865	CDS	657	drdA	4.1.2.-		5-deoxy-D-ribulose 1-phosphate aldolase
target_00866	gene	957	yoaD			
target_00866	CDS	957	yoaD	1.1.1.-	COG0111	Putative 2-hydroxyacid dehydrogenase YoaD
target_00867	gene	1347	xylB			
target_00867	CDS	1347	xylB	2.7.1.17	COG1070	Xylulose kinase
target_00868	gene	729				
target_00868	CDS	729				hypothetical protein
target_00869	gene	957				
target_00869	CDS	957		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_00870	gene	1326	secY			
target_00870	CDS	1326	secY		COG0201	Protein translocase subunit SecY
target_00871	gene	546	adk			
target_00871	CDS	546	adk	2.7.4.3	COG0563	Adenylate kinase
target_00872	gene	801	map-1			
target_00872	CDS	801	map-1	3.4.11.18	COG0024	Methionine aminopeptidase 1
target_00873	gene	534	sigL			
target_00873	CDS	534	sigL		COG1595	ECF RNA polymerase sigma factor SigL
target_00874	gene	753	rslA			
target_00874	CDS	753	rslA		COG5662	Anti-sigma-L factor RslA
target_00875	gene	570				
target_00875	CDS	570				hypothetical protein
target_00876	gene	537				
target_00876	CDS	537				putative protein
target_00877	gene	804				
target_00877	CDS	804				hypothetical protein
target_00878	gene	180				
target_00878	CDS	180				hypothetical protein
target_00879	gene	315				
target_00879	CDS	315				ISL3 family transposase IS1557
target_00880	gene	519				
target_00880	CDS	519				hypothetical protein
target_00881	gene	558				
target_00881	CDS	558				hypothetical protein
target_00882	gene	507				
target_00882	CDS	507				hypothetical protein
target_00883	gene	147	mmsB_1			
target_00883	CDS	147	mmsB_1	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
target_00884	gene	2352				
target_00884	CDS	2352				hypothetical protein
target_00885	gene	2406				
target_00885	CDS	2406				hypothetical protein
target_00886	gene	258				
target_00886	CDS	258				Antitoxin VapB31
target_00887	gene	429				
target_00887	CDS	429		3.1.-.-	COG1848	Ribonuclease VapC31
target_00888	gene	138				
target_00888	CDS	138				hypothetical protein
target_00889	gene	885	mmsB_2			
target_00889	CDS	885	mmsB_2	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
target_00890	gene	1173	acdA_1			
target_00890	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
target_00891	gene	1533	bauC			
target_00891	CDS	1533	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
target_00892	gene	1755				
target_00892	CDS	1755		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
target_00893	gene	1938				
target_00893	CDS	1938				putative PPE family protein PPE40
target_00894	gene	171				
target_00894	CDS	171				hypothetical protein
target_00895	gene	73				
target_00895	tRNA	73				tRNA-Thr(tgt)
target_00896	gene	726				
target_00896	CDS	726				hypothetical protein
target_00897	gene	723	tcrX_1			
target_00897	CDS	723	tcrX_1		COG0745	putative transcriptional regulatory protein TcrX
target_00898	gene	1458	tcrY_1			
target_00898	CDS	1458	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
target_00899	gene	402				
target_00899	CDS	402			COG0537	putative HIT-like protein
target_00900	gene	420				
target_00900	CDS	420				hypothetical protein
target_00901	gene	1128	adhB_2			
target_00901	CDS	1128	adhB_2	1.1.1.1	COG1062	Alcohol dehydrogenase B
target_00902	gene	546				
target_00902	CDS	546				hypothetical protein
target_00903	gene	207				
target_00903	CDS	207				hypothetical protein
target_00904	gene	1356				
target_00904	CDS	1356		1.14.14.154	COG2124	Lanosterol 14-alpha demethylase
target_00905	gene	828	dhbA			
target_00905	CDS	828	dhbA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
target_00906	gene	1209				
target_00906	CDS	1209		1.14.-.-	COG2124	Putative cytochrome P450 123
target_00907	gene	642				
target_00907	CDS	642				putative HTH-type transcriptional regulator
target_00908	gene	1470				
target_00908	CDS	1470		1.2.1.3		Putative aldehyde dehydrogenase
target_00909	gene	747				
target_00909	CDS	747		1.-.-.-		putative oxidoreductase
target_00910	gene	888				
target_00910	CDS	888		1.1.-.-	COG2084	putative oxidoreductase
target_00911	gene	432				
target_00911	CDS	432				hypothetical protein
target_00912	gene	1269	purD			
target_00912	CDS	1269	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
target_00913	gene	1584	ywrD			
target_00913	CDS	1584	ywrD	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
target_00914	gene	702				
target_00914	CDS	702				hypothetical protein
target_00915	gene	573				
target_00915	CDS	573				hypothetical protein
target_00916	gene	780				
target_00916	CDS	780				hypothetical protein
target_00917	gene	1419	purB			
target_00917	CDS	1419	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
target_00918	gene	1245				
target_00918	CDS	1245		1.14.-.-	COG2124	Putative cytochrome P450 126
target_00919	gene	621				
target_00919	CDS	621				hypothetical protein
target_00920	gene	894	purC			
target_00920	CDS	894	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
target_00921	gene	2160	dapb1			
target_00921	CDS	2160	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
target_00922	gene	162				
target_00922	CDS	162				hypothetical protein
target_00923	gene	1623	mdtD_1			
target_00923	CDS	1623	mdtD_1			Putative multidrug resistance protein MdtD
target_00924	gene	687				
target_00924	CDS	687				hypothetical protein
target_00925	gene	1701				
target_00925	CDS	1701		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
target_00926	gene	639				
target_00926	CDS	639				hypothetical protein
target_00927	gene	672				
target_00927	CDS	672				hypothetical protein
target_00928	gene	240	purS			
target_00928	CDS	240	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
target_00929	gene	675	purQ			
target_00929	CDS	675	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
target_00930	gene	474				
target_00930	CDS	474				hypothetical protein
target_00931	gene	729				
target_00931	CDS	729				hypothetical protein
target_00932	gene	1044				
target_00932	CDS	1044			COG2141	putative protein
target_00933	gene	810	nagR			
target_00933	CDS	810	nagR		COG2188	HTH-type transcriptional repressor NagR
target_00934	gene	306				
target_00934	CDS	306		1.-.-.-	COG1359	Putative monooxygenase
target_00935	gene	1500	lpdA_1			
target_00935	CDS	1500	lpdA_1	1.8.1.4		Dihydrolipoyl dehydrogenase
target_00936	gene	162				
target_00936	CDS	162				IS110 family transposase IS1547
target_00937	gene	798	lin			
target_00937	CDS	798	lin	3.4.-.-		Linocin-M18
target_00938	gene	1008	yfeX			
target_00938	CDS	1008	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
target_00939	gene	1302	apeB			
target_00939	CDS	1302	apeB	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
target_00940	gene	348				
target_00940	CDS	348				hypothetical protein
target_00941	gene	657				
target_00941	CDS	657		2.8.3.-	COG1670	Putative succinyl-CoA transferase
target_00942	gene	2301	purL			
target_00942	CDS	2301	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
target_00943	gene	630				
target_00943	CDS	630				hypothetical protein
target_00944	gene	957	cpdA			
target_00944	CDS	957	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
target_00945	gene	1599	cpsY			
target_00945	CDS	1599	cpsY	2.7.-.-		Exopolysaccharide phosphotransferase CpsY
target_00946	gene	390				
target_00946	CDS	390				hypothetical protein
target_00947	gene	1530	purF			
target_00947	CDS	1530	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
target_00948	gene	1095	purM			
target_00948	CDS	1095	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
target_00949	gene	183				
target_00949	CDS	183				hypothetical protein
target_00950	gene	1107				
target_00950	CDS	1107				hypothetical protein
target_00951	gene	888				
target_00951	CDS	888				hypothetical protein
target_00952	gene	681				
target_00952	CDS	681				hypothetical protein
target_00953	gene	99				
target_00953	CDS	99				hypothetical protein
target_00954	gene	423				
target_00954	CDS	423				hypothetical protein
target_00955	gene	813				
target_00955	CDS	813				hypothetical protein
target_00956	gene	765				
target_00956	CDS	765				hypothetical protein
target_00957	gene	948	mshD			
target_00957	CDS	948	mshD	2.3.1.189	COG0456	Mycothiol acetyltransferase
target_00958	gene	777	pstB1			
target_00958	CDS	777	pstB1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 1
target_00959	gene	642	phoU2			
target_00959	CDS	642	phoU2		COG0704	Phosphate-specific transport system accessory protein PhoU 
target_00960	gene	2055	tagU			
target_00960	CDS	2055	tagU	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
target_00961	gene	1170	dus			
target_00961	CDS	1170	dus	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
target_00962	gene	1017	desA1			
target_00962	CDS	1017	desA1	1.14.19.-		Putative acyl-[acyl-carrier-protein] desaturase DesA1
target_00963	gene	642				
target_00963	CDS	642				hypothetical protein
target_00964	gene	1083				
target_00964	CDS	1083				hypothetical protein
target_00965	gene	324	kmtR			
target_00965	CDS	324	kmtR		COG0640	HTH-type transcriptional regulator KmtR
target_00966	gene	633	tadA_1			
target_00966	CDS	633	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
target_00967	gene	906				
target_00967	CDS	906		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_00968	gene	816				
target_00968	CDS	816				hypothetical protein
target_00969	gene	74				
target_00969	tRNA	74				tRNA-Lys(ttt)
target_00970	gene	76				
target_00970	tRNA	76				tRNA-Glu(ttc)
target_00971	gene	77				
target_00971	tRNA	77				tRNA-Asp(gtc)
target_00972	gene	77				
target_00972	tRNA	77				tRNA-Phe(gaa)
target_00973	gene	414				
target_00973	CDS	414				PE-PGRS family protein PE_PGRS26
target_00974	gene	2145				
target_00974	CDS	2145				hypothetical protein
target_00975	gene	83				
target_00975	tRNA	83				tRNA-Ala(ggc)
target_00976	gene	645				
target_00976	CDS	645				hypothetical protein
target_00977	gene	414				
target_00977	CDS	414				hypothetical protein
target_00978	gene	747				
target_00978	CDS	747				hypothetical protein
target_00979	gene	1029				
target_00979	CDS	1029				hypothetical protein
target_00980	gene	612	ddpX			
target_00980	CDS	612	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
target_00981	gene	813	COQ3_2			
target_00981	CDS	813	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
target_00982	gene	861	pip			
target_00982	CDS	861	pip	3.4.11.5		Proline iminopeptidase
target_00983	gene	1329				
target_00983	CDS	1329				hypothetical protein
target_00984	gene	1005	acoA			
target_00984	CDS	1005	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
target_00985	gene	651	narL			
target_00985	CDS	651	narL		COG2197	putative transcriptional regulatory protein NarL
target_00986	gene	261	narS_1			
target_00986	CDS	261	narS_1	2.7.13.3	COG4585	putative sensor histidine kinase NarS
target_00987	gene	1032	narS_2			
target_00987	CDS	1032	narS_2	2.7.13.3	COG4585	putative sensor histidine kinase NarS
target_00988	gene	1515	mmcO			
target_00988	CDS	1515	mmcO	1.16.3.1	COG2132	Multicopper oxidase MmcO
target_00989	gene	417	lpqS			
target_00989	CDS	417	lpqS			Lipoprotein LpqS
target_00990	gene	1215	cysK2			
target_00990	CDS	1215	cysK2	2.5.1.-	COG0031	S-sulfocysteine synthase
target_00991	gene	1260	mdtH			
target_00991	CDS	1260	mdtH			Multidrug resistance protein MdtH
target_00992	gene	333				
target_00992	CDS	333				hypothetical protein
target_00993	gene	828	ptlF			
target_00993	CDS	828	ptlF	1.1.1.340		1-deoxy-11-beta-hydroxypentalenate dehydrogenase
target_00994	gene	735				
target_00994	CDS	735				hypothetical protein
target_00995	gene	1683	kdc			
target_00995	CDS	1683	kdc	4.1.1.-	COG3961	Alpha-keto-acid decarboxylase
target_00996	gene	444				
target_00996	CDS	444				hypothetical protein
target_00997	gene	1080	uctC_1			
target_00997	CDS	1080	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
target_00998	gene	405				
target_00998	CDS	405				hypothetical protein
target_00999	gene	474				
target_00999	CDS	474				hypothetical protein
target_01000	gene	1194	dapC			
target_01000	CDS	1194	dapC	2.6.1.17	COG0436	putative N-succinyldiaminopimelate aminotransferase DapC
target_01001	gene	1212	fadA_1			
target_01001	CDS	1212	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
target_01002	gene	2163	fadJ			
target_01002	CDS	2163	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
target_01003	gene	1650				
target_01003	CDS	1650				hypothetical protein
target_01004	gene	2271				
target_01004	CDS	2271				hypothetical protein
target_01005	gene	234				
target_01005	CDS	234				hypothetical protein
target_01006	gene	504	moaC2			
target_01006	CDS	504	moaC2	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase 2
target_01007	gene	483	mog			
target_01007	CDS	483	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
target_01008	gene	426	moaE2_2			
target_01008	CDS	426	moaE2_2	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit 2
target_01009	gene	264	rpfA			
target_01009	CDS	264	rpfA	3.-.-.-		Resuscitation-promoting factor RpfA
target_01010	gene	279				
target_01010	CDS	279				hypothetical protein
target_01011	gene	1083	moaA2			
target_01011	CDS	1083	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
target_01012	gene	390	yccF			
target_01012	CDS	390	yccF		COG3304	Inner membrane protein YccF
target_01013	gene	408				
target_01013	CDS	408				hypothetical protein
target_01014	gene	1830				
target_01014	CDS	1830				hypothetical protein
target_01015	gene	1953				
target_01015	CDS	1953		1.3.-.-	COG1960	putative acyl-CoA dehydrogenase FadE10
target_01016	gene	1161				
target_01016	CDS	1161			COG4398	putative protein
target_01017	gene	489				
target_01017	CDS	489				putative protein
target_01018	gene	1533				
target_01018	CDS	1533			COG0477	putative protein
target_01019	gene	789				
target_01019	CDS	789				putative protein
target_01020	gene	1332				
target_01020	CDS	1332				putative PPE family protein PPE40
target_01021	gene	276				
target_01021	CDS	276				hypothetical protein
target_01022	gene	432				
target_01022	CDS	432			COG1846	putative HTH-type transcriptional regulator
target_01023	gene	867	rlmB			
target_01023	CDS	867	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
target_01024	gene	285				
target_01024	CDS	285				hypothetical protein
target_01025	gene	762				
target_01025	CDS	762				putative protein
target_01026	gene	1131	serC			
target_01026	CDS	1131	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
target_01027	gene	1023				
target_01027	CDS	1023				putative protein
target_01028	gene	1728	fprB			
target_01028	CDS	1728	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
target_01029	gene	459				
target_01029	CDS	459			COG2764	putative protein
target_01030	gene	150				
target_01030	CDS	150				hypothetical protein
target_01031	gene	1473	spmT			
target_01031	CDS	1473	spmT	3.1.4.12		Sphingomyelinase
target_01032	gene	1122	citA			
target_01032	CDS	1122	citA	2.3.3.16	COG0372	Putative citrate synthase 2
target_01033	gene	2649				
target_01033	CDS	2649			COG2771	Putative HTH-type transcriptional regulator
target_01034	gene	615				
target_01034	CDS	615				hypothetical protein
target_01035	gene	318				
target_01035	CDS	318				hypothetical protein
target_01036	gene	1530				
target_01036	CDS	1530		1.14.13.-	COG2072	putative monooxygenase
target_01037	gene	978				
target_01037	CDS	978		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
target_01038	gene	1110				
target_01038	CDS	1110			COG2771	Putative HTH-type transcriptional regulator
target_01039	gene	1425				
target_01039	CDS	1425		2.3.1.20		Putative diacyglycerol O-acyltransferase
target_01040	gene	1518	gltA2			
target_01040	CDS	1518	gltA2	2.3.3.16	COG0372	Citrate synthase 1
target_01041	gene	1608				
target_01041	CDS	1608			COG1233	putative protein
target_01042	gene	264				
target_01042	CDS	264				putative protein
target_01043	gene	981	arfA			
target_01043	CDS	981	arfA		COG2885	Peptidoglycan-binding protein ArfA
target_01044	gene	153	arfB			
target_01044	CDS	153	arfB			putative membrane protein ArfB
target_01045	gene	528	arfC			
target_01045	CDS	528	arfC			putative membrane protein ArfC
target_01046	gene	1410	prrB			
target_01046	CDS	1410	prrB	2.7.13.3	COG0642	Sensor-type histidine kinase PrrB
target_01047	gene	711	prrA			
target_01047	CDS	711	prrA			Transcriptional regulatory protein PrrA
target_01048	gene	1488	accD3			
target_01048	CDS	1488	accD3	6.4.1.2	COG0777	Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
target_01049	gene	732	echA6			
target_01049	CDS	732	echA6	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA6
target_01050	gene	1119				
target_01050	CDS	1119			COG2220	putative protein
target_01051	gene	1689	dap_2			
target_01051	CDS	1689	dap_2	3.4.11.19		D-aminopeptidase
target_01052	gene	2394	ctpE			
target_01052	CDS	2394	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
target_01053	gene	159				
target_01053	CDS	159				hypothetical protein
target_01054	gene	180				
target_01054	CDS	180				Antitoxin
target_01055	gene	435				
target_01055	CDS	435				Toxin
target_01056	gene	774				
target_01056	CDS	774			COG3324	Putative glyoxylase CFP32
target_01057	gene	474				
target_01057	CDS	474				hypothetical protein
target_01058	gene	231				
target_01058	CDS	231				hypothetical protein
target_01059	gene	1509				
target_01059	CDS	1509		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
target_01060	gene	1239				
target_01060	CDS	1239				hypothetical protein
target_01061	gene	1272				
target_01061	CDS	1272				putative PPE family protein PPE29
target_01062	gene	300				
target_01062	CDS	300				hypothetical protein
target_01063	gene	1782	betS			
target_01063	CDS	1782	betS			Glycine betaine/proline betaine transporter BetS
target_01064	gene	258				
target_01064	CDS	258				hypothetical protein
target_01065	gene	456				
target_01065	CDS	456				hypothetical protein
target_01066	gene	501				
target_01066	CDS	501				hypothetical protein
target_01067	gene	74				
target_01067	tRNA	74				tRNA-Arg(cct)
target_01068	gene	1320				
target_01068	CDS	1320				IS256 family transposase IS1554
target_01069	gene	582				
target_01069	CDS	582			COG2452	putative protein
target_01070	gene	1653				
target_01070	CDS	1653				IS607 family transposase IS1535
target_01071	gene	1065				
target_01071	CDS	1065				hypothetical protein
target_01072	gene	1287	mntH			
target_01072	CDS	1287	mntH		COG1914	Divalent metal cation transporter MntH
target_01073	gene	738	rosB			
target_01073	CDS	738	rosB	2.6.1.114		8-demethyl-8-aminoriboflavin-5'-phosphate synthase
target_01074	gene	1077	ord_1			
target_01074	CDS	1077	ord_1	1.4.1.26		2,4-diaminopentanoate dehydrogenase
target_01075	gene	792				
target_01075	CDS	792		1.-.-.-		putative oxidoreductase
target_01076	gene	1113	pstS3			
target_01076	CDS	1113	pstS3		COG0226	Phosphate-binding protein PstS 3
target_01077	gene	975	pstC2			
target_01077	CDS	975	pstC2		COG0573	Phosphate transport system permease protein PstC 2
target_01078	gene	915	pstA1			
target_01078	CDS	915	pstA1		COG0581	Phosphate transport system permease protein PstA 1
target_01079	gene	1995	pknD_1			
target_01079	CDS	1995	pknD_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD
target_01080	gene	1113	pstS2			
target_01080	CDS	1113	pstS2		COG0226	Phosphate-binding protein PstS 2
target_01081	gene	831	pstB2			
target_01081	CDS	831	pstB2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 2
target_01082	gene	1125	pstS1			
target_01082	CDS	1125	pstS1		COG0226	Phosphate-binding protein PstS 1
target_01083	gene	1017	pstC1			
target_01083	CDS	1017	pstC1		COG0573	Phosphate transport system permease protein PstC 1
target_01084	gene	906	pstA2			
target_01084	CDS	906	pstA2		COG0581	Phosphate transport system permease protein PstA 2
target_01085	gene	822	mku			
target_01085	CDS	822	mku		COG1273	Non-homologous end joining protein Ku
target_01086	gene	2280	ligD_1			
target_01086	CDS	2280	ligD_1		COG1793	Multifunctional non-homologous end joining DNA repair protein LigD
target_01087	gene	1935				
target_01087	CDS	1935				hypothetical protein
target_01088	gene	867				
target_01088	CDS	867			COG2141	putative protein
target_01089	gene	765				
target_01089	CDS	765				hypothetical protein
target_01090	gene	1041				
target_01090	CDS	1041				hypothetical protein
target_01091	gene	477	fpg2			
target_01091	CDS	477	fpg2		COG0266	putative formamidopyrimidine-DNA glycosylase-like protein
target_01092	gene	762				
target_01092	CDS	762		1.-.-.-	COG1028	putative oxidoreductase
target_01093	gene	1662	pgi			
target_01093	CDS	1662	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
target_01094	gene	273				
target_01094	CDS	273		5.4.99.5	COG1605	Intracellular chorismate mutase
target_01095	gene	2316	uvrD1			
target_01095	CDS	2316	uvrD1	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1
target_01096	gene	999				
target_01096	CDS	999				hypothetical protein
target_01097	gene	1164	sucC			
target_01097	CDS	1164	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
target_01098	gene	903	sucD			
target_01098	CDS	903	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
target_01099	gene	849				
target_01099	CDS	849			COG2141	putative protein
target_01100	gene	912				
target_01100	CDS	912				34 kDa antigenic protein 
target_01101	gene	1359				
target_01101	CDS	1359				putative protein
target_01102	gene	648	purN			
target_01102	CDS	648	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
target_01103	gene	1572	purH			
target_01103	CDS	1572	purH		COG0138	Bifunctional purine biosynthesis protein PurH
target_01104	gene	1380				
target_01104	CDS	1380				hypothetical protein
target_01105	gene	2019				
target_01105	CDS	2019			COG4867	putative protein
target_01106	gene	222				
target_01106	CDS	222				hypothetical protein
target_01107	gene	384	vapC9_2			
target_01107	CDS	384	vapC9_2	3.1.-.-	COG4113	Ribonuclease VapC9
target_01108	gene	348				
target_01108	CDS	348				hypothetical protein
target_01109	gene	471				
target_01109	CDS	471				hypothetical protein
target_01110	gene	141				
target_01110	CDS	141				hypothetical protein
target_01111	gene	963				
target_01111	CDS	963				hypothetical protein
target_01112	gene	420				
target_01112	CDS	420				hypothetical protein
target_01113	gene	603				
target_01113	CDS	603				putative protein
target_01114	gene	360	csoR_1			
target_01114	CDS	360	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
target_01115	gene	297				
target_01115	CDS	297				putative protein
target_01116	gene	2379	ctpV			
target_01116	CDS	2379	ctpV	7.2.2.8	COG2217	putative copper-exporting P-type ATPase V
target_01117	gene	633				
target_01117	CDS	633				putative protein
target_01118	gene	810	fadB			
target_01118	CDS	810	fadB	4.2.1.17	COG1024	putative enoyl-CoA hydratase
target_01119	gene	1167				
target_01119	CDS	1167		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
target_01120	gene	2004	accA1_1			
